id	title	title_source	title_uri	ccodes	matches	variants	types	aat_types	parent_name	lon	lat	geo_source	description
7977109	Goth Hāji Nur Muhammad	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7977109	PK	tgn:7977109	Goth Hāji Nur Muhammad;Goth Kandāni	inhabited place	300008347	Sindh, Pākistān, Asia, World	67.279302	25.315323	Getty TGN Jun 2017	
7977136	Tanarak	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7977136	PK	tgn:7977136	Tanarak;Tanorak	inhabited place	300008347	Federally Administered Tribal Areas, Pākistān, Asia, World	70.29981	33.884558	Getty TGN Jun 2017	
7977700	Palasin	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7977700	PK	tgn:7977700	Palasin	cemetery	300266755	Federally Administered Tribal Areas, Pākistān, Asia, World	70.243743	33.228139	Getty TGN Jun 2017	
7978527	Hanjānwāli	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7978527	PK	tgn:7978527	Hanjānwāli	inhabited place	300008347	Punjab, Pākistān, Asia, World	74.3325	31.895833	Getty TGN Jun 2017	
7978827	Bhundri	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7978827	PK	tgn:7978827	Bhundri	inhabited place	300008347	Punjab, Pākistān, Asia, World	74.438611	31.934722	Getty TGN Jun 2017	
7979582	Goth Yāqūb Chāndro	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7979582	PK	tgn:7979582	Goth Yāqūb Chāndro	inhabited place	300008347	Sindh, Pākistān, Asia, World	67.918333	24.715833	Getty TGN Jun 2017	
7979703	Tangai	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7979703	PK	tgn:7979703	Tangai	inhabited place	300008347	Balochistān, Pākistān, Asia, World	67.561944	30.604444	Getty TGN Jun 2017	
7980173	Trīkh Dāg	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7980173	PK	tgn:7980173	Trīkh Dāg	spring	300008697	Balochistān, Pākistān, Asia, World	67.621034	30.576912	Getty TGN Jun 2017	
7981726	Gabar	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7981726	PK	tgn:7981726	Gabar	inhabited place	300008347	Balochistān, Pākistān, Asia, World	70.128954	30.87307	Getty TGN Jun 2017	
7982867	Muhammad Ali Māchhi	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7982867	PK	tgn:7982867	Muhammad Ali Māchhi	inhabited place	300008347	Sindh, Pākistān, Asia, World	67.787233	27.710995	Getty TGN Jun 2017	
7983142	Gūnga	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7983142	PK	tgn:7983142	Gūnga	inhabited place	300008347	Balochistān, Pākistān, Asia, World	66.521882	27.769962	Getty TGN Jun 2017	
7983791	Tozgi Koh	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7983791	PK	tgn:7983791	Tozgi Koh	mountain	300008795	Balochistān, Pākistān, Asia, World	62.3365	28.8297	Getty TGN Jun 2017	
7984939	Channa Goth	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7984939	PK	tgn:7984939	Channa Goth;Channan	inhabited place	300008347	Sindh, Pākistān, Asia, World	68.120986	27.366394	Getty TGN Jun 2017	
7985387	Goth Gopāng	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7985387	PK	tgn:7985387	Goth Gopāng	inhabited place	300008347	Sindh, Pākistān, Asia, World	68.11845	27.129252	Getty TGN Jun 2017	
7986209	Basti Arāiānwāli	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7986209	PK	tgn:7986209	Basti Arāiānwāli	inhabited place	300008347	Punjab, Pākistān, Asia, World	70.688889	28.533333	Getty TGN Jun 2017	
7986500	Chak Thirty-one P	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7986500	PK	tgn:7986500	Chak Thirty-one P	inhabited place	300008347	Punjab, Pākistān, Asia, World	70.60668	28.500986	Getty TGN Jun 2017	
7986599	Basti Qayūm Khān	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7986599	PK	tgn:7986599	Basti Qayūm Khān	inhabited place	300008347	Punjab, Pākistān, Asia, World	70.3508	28.964232	Getty TGN Jun 2017	
7986700	Basti Khān Muhammad Lār	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7986700	PK	tgn:7986700	Basti Khān Muhammad Lār	inhabited place	300008347	Punjab, Pākistān, Asia, World	70.599656	28.541549	Getty TGN Jun 2017	
7987144	Basti Ādam Arāīn	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7987144	PK	tgn:7987144	Basti Ādam Arāīn	inhabited place	300008347	Punjab, Pākistān, Asia, World	70.409722	28.744444	Getty TGN Jun 2017	
7987335	Gāgri Feeder	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7987335	PK	tgn:7987335	Gāgri Feeder	canal	300006075	Punjab, Pākistān, Asia, World	70.494444	28.7125	Getty TGN Jun 2017	
7987410	Malūkawāla	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7987410	PK	tgn:7987410	Malūkawāla	inhabited place	300008347	Punjab, Pākistān, Asia, World	71.503775	30.848582	Getty TGN Jun 2017	
7987858	Chak Two-Four L	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7987858	PK	tgn:7987858	Chak Two-Four L	inhabited place	300008347	Punjab, Pākistān, Asia, World	71.706095	30.680544	Getty TGN Jun 2017	
7988135	Basti Sāngi	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7988135	PK	tgn:7988135	Basti Sāngi	inhabited place	300008347	Punjab, Pākistān, Asia, World	70.136049	28.814442	Getty TGN Jun 2017	
7988198	Tibbi Salyldān	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7988198	PK	tgn:7988198	Tibbi Salyldān	inhabited place	300008347	Punjab, Pākistān, Asia, World	70.6375	28.906944	Getty TGN Jun 2017	
7989519	Goth Misri	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7989519	PK	tgn:7989519	Goth Misri	inhabited place	300008347	Sindh, Pākistān, Asia, World	68.583903	25.326755	Getty TGN Jun 2017	
7989832	Goth Hasno Kapri	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7989832	PK	tgn:7989832	Goth Hasno Kapri	inhabited place	300008347	Sindh, Pākistān, Asia, World	68.920833	25.240278	Getty TGN Jun 2017	
7990019	Goth Hāji Pīr Dīno	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7990019	PK	tgn:7990019	Goth Hāji Pīr Dīno	inhabited place	300008347	Sindh, Pākistān, Asia, World	68.909722	25.626389	Getty TGN Jun 2017	
7990144	Goth Māli Shāh	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7990144	PK	tgn:7990144	Goth Māli Shāh	inhabited place	300008347	Sindh, Pākistān, Asia, World	68.538889	25.761111	Getty TGN Jun 2017	
7991286	Hāji Jummūn	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7991286	PK	tgn:7991286	Hāji Jummūn	inhabited place	300008347	Sindh, Pākistān, Asia, World	68.590664	25.115928	Getty TGN Jun 2017	
